ID,Price,Bedroom amount,Bathroom amount,Area,Floor amount,Air conditioner,BBQ,Receptionists,GYM,Garden,Library,Park,Playground,Guard,Pool,Tennis court,Wifi,Location,Type,Near transport,Furnished
8de53bd5-7283-4f00-a546-b4f1041626a4,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
83e59f62-fba2-4dee-9ab0-166ad0bb3c2f,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
7954ef9b-b989-4e63-8934-aa11b76c01c5,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
0dc6881d-ccbe-4cf9-a3ab-7f8b5e05a710,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
dec5dad4-d847-4b4e-98bb-7d086e018640,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
21496f32-6d1e-4d93-a9df-b84815b7731d,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
695347fd-a80e-464f-bf77-cf68a21616d3,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
5708e6f7-d5a3-4ab3-83f2-22cbe9863a2f,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
685044aa-8541-4976-b1e1-e73e4c624c4b,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
f94f244c-85fb-40a2-9aa8-20b6a0139c84,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
e2b88cdb-d245-4a0c-b339-74e80dce1354,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
71dcbbf7-8116-4bff-b488-b212e0c38fbd,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
76638d04-0bff-480f-a85c-7cbb37aa321b,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
c428455a-6405-44d5-a4fd-a2e3b694c3a1,72000000000,5,6,600.0,4,1,0,0,0,0,1,1,1,1,0,0,1,ho-chi-minh,retail-spaces,0,fully
93b152af-5be5-4657-ace2-7f33cef285e1,38000000000,3,3,613.0,8,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
299070e6-6606-48eb-a03b-f1ba46370fdf,190000000000,1,1,5839.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,retail-spaces,0,fully
e5760d59-bdf9-4a16-9b8f-a950cfcc7f01,23000000000,4,0,108.0,4,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,retail-spaces,0,fully
3054f055-2435-4c97-b461-064b304d7282,140000000000,26,0,546.0,5,1,0,1,0,1,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
3f3136c2-af15-4058-9304-3aad1977b38c,17000000000,13,0,497.0,8,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
5bdd1d3b-de55-496e-8ae3-555f0a1dca45,33500000000,0,0,200.0,0,1,0,1,0,0,0,0,0,0,0,0,1,ho-chi-minh,retail-spaces,0,fully
c244ed1a-9688-4560-97b9-a7e701a35ee6,170000000000,0,0,548.0,3,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,retail-spaces,0,fully
55be38d7-2534-4ae6-9fe1-677dfb5e1bb7,22000000000,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
32ffb7da-e2e5-4b24-b5c6-c9f4d447cc2d,16000000000,4,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,retail-spaces,0,fully
c36a8bcf-0b71-4f7a-8aa1-4167f68065dc,158400000000,0,0,548.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,retail-spaces,0,fully
e974a029-2cd4-42ba-b35f-ec39942337a2,18900000000,0,0,200.0,5,1,0,1,0,1,0,1,0,0,0,0,1,ho-chi-minh,retail-spaces,0,fully
c7937ebc-8502-40ce-9a74-9499b3605f37,60900000000,0,0,210.0,9,0,1,0,0,1,0,1,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
1086624a-a6a5-4e2f-81a0-b5fe7b50fda2,980000000000,100,0,0,12,0,0,1,1,1,0,1,1,1,1,0,0,ho-chi-minh,retail-spaces,0,fully
5f5458e1-8c76-47c3-b9a8-065a92fade4d,45000000000,0,0,627.0,8,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
0ad94733-8b6d-4658-99b8-726b957e309e,53000000000,0,0,1200.0,7,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
168e1645-9572-4b62-b5fd-555d57ff0635,40000000000,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
d4e3f7a8-c909-43d8-bd94-180a4d39e04e,90000000000,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
ea86da03-779e-44af-9485-9d47076d8861,110000000000,4,2,514.0,5,1,1,0,1,1,1,1,1,1,1,0,1,ho-chi-minh,retail-spaces,0,fully
2c4d53d5-569d-4a37-844b-62534abdf6d3,54000000000,19,0,650.0,5,1,0,0,0,0,0,1,0,1,0,0,1,ho-chi-minh,retail-spaces,0,fully
e2c55f29-2dea-4aab-b728-6999d774c6fd,46500000000,18,0,600.0,7,1,0,0,0,0,0,1,0,1,0,0,1,ho-chi-minh,retail-spaces,0,fully
531345ff-29bc-4f26-9dfc-5f8a94c37e6c,290000000000,60,0,1824.0,10,1,0,1,1,0,0,1,0,1,0,0,1,ho-chi-minh,retail-spaces,0,fully
2881b909-5b8e-4ed9-9a37-fab1e92d9766,90000000000,28,0,750.0,8,1,0,1,0,0,0,1,0,0,0,0,1,ho-chi-minh,retail-spaces,0,fully
464b1576-a898-4085-8c84-d7712b59c499,99000000000,26,0,947.0,10,1,0,1,0,0,0,0,0,1,0,0,1,ho-chi-minh,retail-spaces,0,fully
c4ba2796-da4f-4591-9688-c3008d7bff54,78055000000,0,0,500.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,retail-spaces,0,fully
96d3aa32-87fd-48c2-927e-3225930fb25a,78055000000,0,0,500.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,retail-spaces,0,fully
7d63aa9c-93f4-44cd-8a66-24c7f540518d,76890000000,0,0,500.0,3,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,retail-spaces,0,fully
d432e7c8-fcf1-4a53-9bcf-09b50536725d,78055000000,0,0,500.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,retail-spaces,0,fully
69284242-9c03-4f77-bb53-2da3d8d68abd,52000000000,18,0,0,6,1,0,0,0,0,0,1,0,0,0,0,1,ho-chi-minh,retail-spaces,0,fully
57d522e4-f26b-4f49-a573-d871343a1441,585000000000,0,0,4000.0,12,1,0,0,0,0,0,1,0,1,0,0,1,ho-chi-minh,retail-spaces,0,fully
fb35b660-acca-4107-a2cb-744d53179d90,80000000000,27,0,0,6,1,0,0,0,0,0,1,0,0,0,0,1,ho-chi-minh,retail-spaces,0,fully
f43b4439-a2af-4512-bd22-d596f85c9e8d,23600000000,0,0,158.8,0,1,1,1,1,1,1,1,1,1,1,0,1,ho-chi-minh,retail-spaces,0,fully
bc5d0d00-c47e-4a99-9c87-3961421b63e3,110000000000,40,0,0,6,1,0,1,0,0,0,1,0,1,0,0,1,ho-chi-minh,retail-spaces,0,fully
417491a3-b67d-4654-93bb-4ca72c26b663,150000000000,0,0,10000.0,10,1,0,0,0,0,0,1,0,1,0,0,1,ho-chi-minh,retail-spaces,0,fully
e9123f51-cfba-4b95-bce6-cc15fa2594d3,99000000000,25,0,0,10,0,0,1,0,0,0,1,0,1,0,0,1,ho-chi-minh,retail-spaces,0,fully
c389b14e-44c9-4d15-b873-d0facb750e4c,43000000000,0,0,800.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
e2a24a09-e457-446b-89fd-e80cf69b31fd,45000000000,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,1,ho-chi-minh,retail-spaces,0,fully
e36cc35e-4223-4e16-bd02-439fc64312b6,31000000000,0,0,220.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,retail-spaces,0,fully
2e18202b-71f3-4d70-9162-8063a36a9afa,487600000000,0,0,0,15,1,1,1,0,0,0,1,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
1a32aecd-cc08-4229-97f2-1444fa9ca05c,220000000000,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
793e4722-8e1a-49f8-8f87-5eb38dbe83fd,90000000000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
ff79ac31-572d-4c85-89a5-e18360518437,58000000000,0,0,0,8,1,1,0,0,0,0,1,1,0,0,0,1,ho-chi-minh,retail-spaces,0,fully
e6c45c06-e899-42b6-b2ca-063269452501,200000000000,0,0,0,10,1,0,1,0,0,0,1,0,0,0,0,1,ho-chi-minh,retail-spaces,0,fully
6c2d8fcb-ce03-4591-ac1e-6375e7d43d38,30000000000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
